# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 5459.52
200 2900.96
300 2934.08
400 2341.28
500 2166.66
600 1161.63
700 1386.19
800 1911.14
900 1631.51
1000 1460
1100 2003.39
1200 2115.03
1300 1330.17
1400 1453.35
1500 2182.59
1600 1646.98
1700 1752.98
1800 1546.09
1900 1744.48
2000 1452.41
2100 1454.96
2200 2259.08
2300 1735.4
2400 1534.94
2500 1815.38
2600 1523.72
2700 1655.12
2800 1554.26
2900 1818.9
3000 1897.52
3100 1501.63
3200 1721.22
3300 1911.21
3400 1692.36
3500 1509.99
3600 1712.95
3700 1644.03
3800 1648.08
3900 1912.36
4000 1642.8
4100 1535.21
4200 1803.16
4300 1780.51
4400 1467.99
4500 1765.06
4600 1862.99
4700 1637.44
4800 1684.34
4900 1708.1
5000 1575.1
5100 1702.68
5200 1672.69
5300 1927.45
5400 1715.4
5500 1554.26
5600 1737.46
5700 1698.32
5800 1565.79
5900 1714.4
6000 1857.64
6100 1726.58
6200 1574.58
6300 1747.08
6400 1611.91
6500 1697.91
6600 1726.76
6700 1758.95
6800 1701.18
6900 1785.07
7000 1603.7
7100 1615.41
7200 1711.53
7300 1744.34
7400 1783.77
7500 1743.87
7600 1498.96
7700 1628.89
7800 1823.37
7900 1548.23
8000 1895.43
8100 1630.64
8200 1561.89
8300 1821.34
8400 1493.76
8500 1764
8600 1744.54
8700 1571.23
8800 1787.66
8900 1576.38
9000 1809.93
9100 1629.79
9200 1696.28
9300 1571.29
9400 1702.35
9500 1769.2
9600 1812.1
9700 1555.67
9800 1604.64
9900 1623.07
10000 1664.88
10100 1739.34
10200 1762.44
10300 1673.5
10400 1677.49
10500 1740.32
10600 1547.2
10700 1615.78
10800 1748.17
10900 1769.04
11000 1732.81
11100 1547.5
11200 1732.68
11300 1578.78
11400 1685.1
11500 1653.79
11600 1765.62
11700 1783.75
11800 1537.13
11900 1698.69
12000 1776.4
12100 1772.76
12200 1564.91
12300 1516.73
12400 1884.63
12500 1643.63
12600 1546
12700 1661.25
12800 1539.33
12900 1684.14
13000 1723.76
13100 1619.7
13200 1591.77
13300 1634.46
13400 1701.84
13500 1639.23
13600 1848.29
13700 1584.95
13800 1536.95
13900 1757.26
14000 1539.83
14100 1839.44
14200 1685.51
14300 1614.87
14400 1673.85
14500 1523.52
14600 1516.83
14700 1763.49
14800 1687.16
14900 1635
15000 1719.33
15100 1513.49
15200 1668.11
15300 1525.73
15400 1693.45
15500 1729.87
15600 1643.39
15700 1843.88
15800 1627.3
15900 1665.73
16000 1577.81
16100 1710.53
16200 1612.51
16300 1870.69
16400 1755.24
16500 1542.79
16600 1703.72
16700 1613.31
16800 1703.13
16900 1579.35
17000 1636.55
17100 1790.72
17200 1721.55
17300 1720.3
17400 1476.7
17500 1614.64
17600 1680.44
17700 1693.83
17800 1687.77
17900 1620.06
18000 1651.61
18100 1619.5
18200 1744.36
18300 1667.4
18400 1619.34
18500 1526.87
18600 1716.54
18700 1708.65
18800 1753.71
18900 1573.24
19000 1682.13
19100 1663.15
19200 1554.42
19300 1707.47
19400 1706.37
19500 1657.94
19600 1698.25
19700 1638.67
19800 1716.61
19900 1581.93
20000 1648.65
20100 1671.85
20200 1713.64
20300 1744.91
20400 1584.84
20500 1634.21
20600 1740.27
20700 1667.93
20800 1744.02
20900 1580.07
21000 1695.27
21100 1577.46
21200 1740.65
21300 1778.22
21400 1626.58
21500 1697.95
21600 1549.07
21700 1549.15
21800 1785.62
21900 1671.38
22000 1739.42
22100 1707.88
22200 1560.83
22300 1579.45
22400 1766.28
22500 1663.67
22600 1721.18
22700 1855.62
22800 1549.71
22900 1652.95
23000 1500.97
23100 1631.67
23200 1708.07
23300 1625.03
23400 1797.91
23500 1557.4
23600 1596.13
23700 1609.27
23800 1547.3
23900 1768.57
24000 1665.7
24100 1731.16
24200 1576.01
24300 1554.94
24400 1707.94
24500 1648.81
24600 1597.91
24700 1576.98
24800 1638.15
24900 1729.2
25000 1632.35
25100 1603.98
25200 1636.33
25300 1626.51
25400 1674.05
25500 1620.94
25600 1572.44
25700 1718.74
25800 1640.27
25900 1722.03
26000 1673.73
26100 1597.48
26200 1631.03
26300 1659.47
26400 1636.1
26500 1696.14
26600 1650.62
26700 1585.7
26800 1666.27
26900 1704
