Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,353.15,18.49,16.82253690821296,0.09018188706257643
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,243.14999999999998,0.01,0.018190678935919816,0.8190678935919815
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,253.14999999999998,1.3699999999999999,1.3004434785156032,0.05077118356525309
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,253.14999999999998,1.38,1.136265379857352,0.17661928995844045
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,233.14999999999998,0.18000000000000002,0.050404852886951554,0.7199730395169359
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,253.14999999999998,0.06999999999999999,0.1727896005444735,1.4684228649210505
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,263.15,1.96,1.825403534127761,0.06867166626134641
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,16.017149518903405,0.15432156711175252
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,243.14999999999998,0.13999999999999999,-0.0011913631359256084,1.008509736685183
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,263.15,0.23,0.5946091437070653,1.5852571465524579
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,313.15,10.229999999999999,9.290265560531754,0.09186064901937875
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,333.15,7.779999999999999,7.147345279442175,0.0813180874752988
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,233.14999999999998,0.39,-0.18077456310087897,1.4635245207714844
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,333.15,6.5,6.997201507801655,0.07649253966179313
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,293.15,1.8,2.217890297463225,0.23216127636845824
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,293.15,5.53,5.951023629861501,0.07613447194602181
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,243.14999999999998,0.64,0.2277149566672862,0.6441953802073653
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,273.15,0.58,1.2678726702418015,1.1859873624858648
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,293.15,3.73,3.038715261319905,0.18533102913675467
