Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,353.15,18.49,15.19028765987367,0.17845929367908756
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,243.14999999999998,0.01,-0.04488318087364371,5.48831808736437
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,253.14999999999998,1.3699999999999999,1.2595369497511046,0.080629963685325
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,253.14999999999998,1.38,1.2913131257770603,0.06426585088618815
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,233.14999999999998,0.18000000000000002,-1.4070885337367278,8.817158520759598
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,253.14999999999998,0.06999999999999999,1.1068080046880633,14.81154292411519
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,263.15,1.96,2.7001630055205834,0.3776341864900936
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,14.946545157337967,0.21084766856716108
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,243.14999999999998,0.13999999999999999,-0.05944931973209797,1.4246379980864141
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,263.15,0.23,2.277222824262874,8.90096880114293
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,313.15,10.229999999999999,9.484452369613626,0.07287855624500222
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,333.15,7.779999999999999,7.388084831228465,0.050374700356238374
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,233.14999999999998,0.39,-1.404304857923804,4.600781686984113
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,333.15,6.5,7.223572009456777,0.11131877068565793
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,293.15,1.8,4.084543536278536,1.2691908534880758
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,293.15,5.53,5.867740401298494,0.06107421361636422
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,243.14999999999998,0.64,-0.07542027845705637,1.1178441850891505
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,273.15,0.58,3.447637639627802,4.944202826944487
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,293.15,3.73,5.41011868422765,0.45043396359990623
